Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,2,Sales Executive,4,Single,5993,Y,Yes,11,3,1,8,1,6,4,0,5
49,0,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,Research Scientist,2,Married,5130,Y,No,23,4,4,10,3,10,7,1,7
37,1,Travel_Rarely,Research & Development,2,2,Other,4,Male,1,Laboratory Technician,3,Single,2090,Y,Yes,15,3,2,7,3,0,0,0,0
33,0,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,1,Research Scientist,3,Married,2909,Y,Yes,11,3,3,8,3,8,7,3,0
27,0,Travel_Rarely,Research & Development,2,1,Medical,1,Male,1,Laboratory Technician,2,Married,3468,Y,No,12,3,4,6,3,2,2,2,2
32,0,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,1,Laboratory Technician,4,Single,3068,Y,No,13,3,3,8,2,7,7,3,6
59,0,Travel_Rarely,Research & Development,3,3,Medical,3,Female,1,Laboratory Technician,1,Married,2670,Y,Yes,20,4,1,12,2,1,0,0,0
30,0,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,1,Laboratory Technician,3,Divorced,2693,Y,No,22,4,2,1,3,1,0,0,0
38,0,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,3,Manufacturing Director,3,Single,9526,Y,No,21,4,2,10,3,9,7,1,8
36,0,Travel_Rarely,Research & Development,27,3,Medical,3,Male,2,Healthcare Representative,3,Married,5237,Y,No,13,3,2,17,2,7,7,7,7
35,0,Travel_Rarely,Research & Development,16,3,Medical,1,Male,1,Laboratory Technician,2,Married,2426,Y,No,13,3,3,6,3,5,4,0,3
29,0,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,Laboratory Technician,3,Single,4193,Y,Yes,12,3,4,10,3,9,5,0,8
